受検No.,年齢,性別,EQ能力_C01_感情の識別_スコア,EQ能力_C02_感情の利用_スコア,EQ能力_C03_感情の理解_スコア,EQ能力_C04_感情の調整_スコア,コンピテンシー_D01_現状認識力_スコア,コンピテンシー_D02_ビジョン創出力_スコア,コンピテンシー_D03_達成行動力_スコア,コンピテンシー_D04_自己管理力_スコア,コンピテンシー_D05_困難克服力_スコア,コンピテンシー_D06_人間関係構築力_スコア,コンピテンシー_D07_コミュニケーション力_スコア,コンピテンシー_D08_組織適応力_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E10_ストレスを強める特性(リスクパターン)_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E11_他者依存_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E12_業績偏重_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E13_完全主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E14_自責傾向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E15_秩序志向_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E16_衝動性_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E17_悲観主義_スコア,潜在的なストレス耐性_ストレスを強める特性(リスクパターン)_E18_自己愛傾向_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E20_ストレス対処法(コーピング)_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E21_気晴らし_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E22_積極対処_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E23_対人_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E24_否認_スコア,潜在的なストレス耐性_ストレス対処法(コーピング)_E25_あきらめ_スコア,潜在的なストレス耐性_ストレス緩和力_E30_ストレス緩和力_スコア,潜在的なストレス耐性_ストレス緩和力_E31_周囲からのサポート_スコア,潜在的なストレス耐性_ストレス緩和力_E32_周囲との調整力_スコア,潜在的なストレス耐性_ストレス緩和力_E33_自己効力感_スコア,潜在的なストレス耐性_ストレス緩和力_E34_安定性_スコア,現在のストレス状態_現在のストレス状態_スコア,現在のストレス状態_仕事(学業)への満足度_スコア,現在のストレス状態_プライベートとのバランス_スコア,現在のストレス状態_抑うつ・不安_スコア,現在のストレス状態_不機嫌・怒り_スコア,現在のストレス状態_無気力感_スコア
26020401,22,0,58.9,63.3,41.3,57.4,67.9,53.9,38.3,54.3,51.4,58.3,48.8,63.7,43.5,53.0,42.3,30.8,50.3,45.9,46.0,50.6,48.6,52.9,53.5,63.2,51.5,40.9,53.8,55.9,43.5,57.8,56.4,57.9,43.7,35.4,40.7,47.9,60.1,57.1
26021704,21,1,34.2,57.2,62.3,51.2,35.7,41.2,50.1,52.1,51.4,41.2,45.2,42.3,47.7,44.7,42.3,51.0,50.3,45.9,58.4,50.6,44.8,41.9,39.6,46.9,33.6,49.6,53.8,41.1,43.5,42.8,38.6,48.8,54.3,47.9,57.2,51.9,60.1,47.3
26021705,21,0,50.2,35.0,41.4,57.0,37.8,51.6,42.2,45.5,50.2,55.1,40.1,45.0,51.9,44.7,57.1,51.0,50.3,57.3,62.5,38.1,48.6,53.7,44.2,52.3,55.9,53.9,53.8,42.7,43.5,37.8,43.0,53.3,55.7,57.3,57.2,44.0,60.1,47.3
26021901,21,1,55.9,60.6,60.0,52.7,57.9,50.1,54.0,39.0,36.7,51.8,60.1,66.4,33.8,32.4,53.4,38.9,32.0,49.7,33.7,50.6,29.4,45.7,44.2,46.9,51.5,49.6,41.7,42.7,32.3,52.8,38.6,53.3,30.0,51.1,40.7,24.1,25.4,27.6
26021905,21,0,31.4,41.2,40.5,52.6,51.8,48.6,42.2,42.3,58.8,55.9,52.4,58.3,50.6,40.6,57.1,63.1,41.1,45.9,58.4,56.9,40.9,51.8,53.5,52.3,55.9,45.2,49.8,57.5,49.2,62.8,47.5,62.4,62.2,60.5,62.7,59.8,50.2,52.2
26021906,21,0,45.5,42.2,50.3,59.3,51.8,50.9,50.1,44.5,42.8,42.0,48.3,47.6,47.3,44.7,57.1,38.9,41.1,61.2,50.2,44.4,48.6,51.4,62.8,52.3,51.5,45.2,45.7,49.3,43.5,42.8,60.9,48.8,41.3,51.1,40.7,40.0,45.2,42.3
26021910,21,1,29.6,42.2,48.5,37.2,45.8,40.5,54.0,34.6,40.4,55.1,56.0,47.6,40.0,44.7,31.1,42.9,41.1,57.3,50.2,38.1,40.9,43.1,44.2,52.3,24.7,53.9,53.8,39.4,43.5,32.8,47.5,44.2,38.1,47.9,40.7,36.0,35.3,47.3
26022001,21,1,53.9,54.9,40.8,56.3,47.8,49.4,42.2,49.9,55.1,48.6,59.6,55.7,53.9,48.9,49.7,59.1,45.7,57.3,50.2,50.6,56.3,53.7,48.9,57.8,51.5,53.9,49.8,59.2,60.4,57.8,56.4,53.3,60.7,47.9,62.7,55.9,60.1,62.0
26022003,22,1,63.1,60.8,59.8,58.4,55.8,53.1,57.9,41.2,51.4,58.3,48.8,58.3,36.7,40.6,53.4,34.9,45.7,49.7,41.9,31.9,37.1,55.6,53.5,63.2,64.8,45.2,41.7,57.5,60.4,52.8,56.4,53.3,41.9,47.9,35.2,51.9,45.2,47.3
26022007,21,0,59.5,65.5,53.8,26.6,45.8,45.7,42.2,47.7,51.4,57.5,53.4,66.4,31.5,32.4,34.8,47.0,27.4,38.2,46.0,50.6,29.4,52.2,62.8,52.3,47.0,45.2,53.8,57.5,60.4,57.8,51.9,53.3,57.6,60.5,51.7,55.9,55.1,52.2
26022008,21,0,49.6,49.2,58.8,49.8,61.9,62.1,50.1,52.1,63.7,57.5,61.1,53.0,52.7,48.9,42.3,42.9,64.1,57.3,54.3,50.6,52.4,65.4,62.8,63.2,60.4,58.3,57.9,55.9,60.4,47.8,47.5,62.4,54.1,57.3,46.2,47.9,60.1,57.1
26022101,19,1,45.0,54.3,53.1,32.2,51.8,48.6,54.0,49.9,49.0,60.8,49.9,55.7,52.1,61.2,53.4,59.1,45.7,38.2,50.2,38.1,64.0,56.3,53.5,57.8,55.9,53.9,49.8,49.3,49.2,42.8,51.9,53.3,45.8,35.4,40.7,59.8,60.1,52.2
26022102,21,1,39.2,27.9,55.0,32.2,61.9,65.8,50.1,49.9,39.2,64.1,47.8,39.6,37.7,40.6,57.1,47.0,27.4,30.5,50.2,50.6,37.1,55.6,53.5,57.8,64.8,49.6,41.7,50.9,54.8,42.8,38.6,67.0,29.8,51.1,35.2,28.1,25.4,32.5
26022104,21,0,66.5,50.4,70.3,53.8,53.8,43.4,46.2,47.7,51.4,52.6,43.2,58.3,52.1,57.1,53.4,42.9,45.7,38.2,58.4,50.6,64.0,50.7,53.5,46.9,51.5,53.9,45.7,49.3,43.5,52.8,47.5,53.3,53.1,57.3,46.2,51.9,55.1,52.2
26022107,22,0,40.3,41.8,47.5,59.7,55.8,51.6,46.2,49.9,52.6,60.8,39.1,58.3,54.3,44.7,57.1,51.0,50.3,53.5,58.4,50.6,56.3,52.2,44.2,46.9,55.9,53.9,53.8,52.6,60.4,52.8,43.0,53.3,61.2,60.5,62.7,51.9,50.2,57.1
26022501,22,1,54.5,42.2,59.4,40.2,53.8,56.8,54.0,36.8,53.9,57.5,49.9,47.6,57.9,53.0,60.8,55.0,54.9,57.3,58.4,44.4,56.3,44.2,35.0,52.3,47.0,45.2,49.8,46.0,43.5,47.8,51.9,44.2,50.9,47.9,51.7,51.9,55.1,47.3
26022504,22,0,42.3,62.8,64.4,52.0,65.9,56.1,65.8,45.5,56.3,64.1,50.9,47.6,50.8,40.6,60.8,42.9,41.1,53.5,62.5,50.6,52.4,63.2,62.8,63.2,64.8,53.9,49.8,57.5,60.4,62.8,56.4,44.2,48.0,57.3,46.2,40.0,55.1,42.3
26022507,21,1,56.3,55.3,53.9,54.5,41.8,43.4,61.8,27.0,39.2,48.6,51.4,50.3,55.6,48.9,71.9,63.1,41.1,49.7,54.3,56.9,44.8,41.6,48.9,41.4,47.0,36.5,49.8,31.2,49.2,27.8,43.0,26.0,49.1,47.9,57.2,51.9,40.3,42.3
26022508,21,0,31.5,53.7,56.3,41.0,45.8,44.9,34.4,39.0,36.7,33.9,40.1,45.0,44.4,40.6,42.3,42.9,41.1,61.2,41.9,50.6,48.6,34.3,53.5,46.9,38.1,36.5,25.4,42.7,43.5,42.8,47.5,44.2,38.6,47.9,51.7,36.0,25.4,37.4
26022514,21,0,63.9,53.5,60.8,59.6,57.9,59.8,54.0,44.5,50.2,44.5,36.0,20.9,61.2,61.2,53.4,51.0,45.7,53.5,54.3,63.2,71.6,55.2,58.1,52.3,51.5,49.6,57.9,49.3,49.2,32.8,60.9,53.3,61.6,57.3,51.7,63.8,60.1,62.0
26022604,21,0,37.9,32.4,53.4,42.2,63.9,36.0,54.0,39.0,31.8,51.8,48.3,61.0,36.0,40.6,57.1,47.0,36.6,34.4,33.7,38.1,44.8,43.8,58.1,41.4,60.4,36.5,33.6,46.0,54.8,52.8,47.5,35.1,36.1,47.9,40.7,32.0,45.2,32.5
26022606,21,1,55.3,43.2,59.8,69.7,65.9,33.8,42.2,54.3,37.9,50.2,47.3,66.4,44.6,61.2,46.0,42.9,50.3,49.7,41.9,44.4,37.1,42.7,30.3,41.4,38.1,58.3,53.8,39.4,37.9,32.8,38.6,57.9,46.8,60.5,40.7,36.0,55.1,47.3
26022801,23,1,40.6,56.4,56.0,44.2,69.9,40.5,26.6,28.1,39.2,59.2,36.6,66.4,22.7,32.4,57.1,30.8,27.4,38.2,21.4,20.0,44.8,40.4,62.8,63.2,64.8,20.0,20.0,32.8,60.4,27.8,51.9,20.0,20.0,47.9,29.7,20.0,20.0,22.7
26022803,20,1,59.0,51.7,53.6,57.1,63.9,56.1,50.1,41.2,50.2,55.1,60.1,45.0,43.3,44.7,53.4,42.9,32.0,49.7,37.8,56.9,48.6,54.8,62.8,52.3,55.9,53.9,41.7,59.2,60.4,57.8,65.3,44.2,60.2,60.5,62.7,51.9,55.1,47.3
26030303,23,1,64.6,58.4,65.3,53.5,61.9,53.9,57.9,54.3,67.4,61.6,63.7,50.3,72.2,53.0,64.5,71.2,77.9,49.7,66.6,63.2,67.8,56.7,58.1,36.0,64.8,53.9,57.9,60.8,60.4,57.8,60.9,53.3,69.6,54.2,73.6,63.8,60.1,62.0
26030306,21,1,39.5,57.2,38.3,48.3,67.9,47.9,50.1,49.9,56.3,61.6,51.4,61.0,48.3,44.7,60.8,34.9,50.3,61.2,41.9,50.6,48.6,51.8,62.8,57.8,24.7,58.3,57.9,52.6,49.2,52.8,51.9,53.3,47.8,54.2,46.2,44.0,50.2,47.3
